;;P;;;;;;;;;;;;;;;;;;;
Fournisseur;Ref LF;Produit;Livr‚ le;Quantit‚;Prix;Nbre de pdts d‚fectueux;Date de notification;Demande de remboursement;Montant Rembours‚;Remboursement;Forme;Statut;Avoir LF;Date du remboursement;ProblŠmes;Avancement;;;;;
WOHLSTAND;2314;Disque Pump 2,5Kgs - Jaune;01/03/16;200;$2,80;200;15/03/16;$560,00;;;;En attente;;;La finition n'est pas bonne du tout. L'int‚rieur du trou est frott‚.;;;;;;
WOHLSTAND;2315;Disque Pump 5Kgs - Vert;01/03/16;200;$5,60;200;15/03/16;$1ÿ120,00;;;;En attente;;;La finition n'est pas bonne du tout. L'int‚rieur du trou est frott‚.;;;;;;
WOHLSTAND;2320;Disque Pump 10Kg - Noir;01/03/16;200;$10,20;200;15/03/16;$2ÿ040,00;;;;En attente;;;La finition n'est pas bonne du tout. L'int‚rieur du trou est frott‚.;;;;;;
Wohlstand;2687;Steps sans plots;01/03/16;90;$9,84;10;29/03/16;$98,40;;;;En attente;;;Il y a des enfoncements;;;;;;
WOHLSTAND;4008;anneaux gym bois;01/03/16;10;$11,68;1;31/03/16;$11,68;;Complet;Renvoi de pdts;ok;;Renvoi container B9;le clip de fermeture se casse;;;;;;
WOHLSTAND;1453;Barre olympique;;20;$37,48;1;13/05/16;$37,48;;;;En attente;;;;;;;;;
WOHLSTAND;1717;Rack … disques;20/02/16;40;$32,00;1;31/05/16;$32,00;;Complet;Remboursement;ok;;Pr‚lev‚ sur cde WSC1578;la rack se tord sous le poid des disques;;;;;;
RISING;3479;Cordes d'oscillation;16/05/15;15;$42,00;15;16/07/15;$630,00;$630,00;Complet;Remboursement;ok;ok;Pr‚lev‚ sur cde RSL15240A;Les cordes s'effritent;;;;;;
RISING;1944;Trampolines;02/09/15;500;$17,00;190;15/09/15;$850,00;$255,00;3%;Remboursement;ok;ok;Pr‚lev‚ sur cde RSL15760;Pr‚sence de  boule de soudure sur les pattes;;;;;;
RISING;3550;Monkey rack;23/09/14;5;$107,00;1;20/10/15;$107,00;$32,00;29%;Remboursement;ok;ok;Pr‚lev‚ sur cde RSL15689;Les monkey bars se tordent. normal finalement. Remboursent juste erreur de prix;;;;;;
RISING;3479;Corde d'oscillation;15/10/15;20;$54,00;1;21/10/15;$54,00;$54,00;Complet;Remboursement;ok;ok;Pr‚lev‚ sur cde RSL15760;les poign‚es se cassent;;;;;;
RISING;3694 et 3695;Power Bags;24/03/14;2;$51,50;2;27/10/15;$51,50;;Complet;Renvoi de pdts;ok;ok;Renvoi de produits;power bags se d‚t‚riore rapidement;;;;;;
RISING;3479;Cordes d'oscillations;17/09/15;15;$42,00;15;16/07/15;$630,00;$630,00;Complet;Remboursement;ok;ok;Pr‚lev‚ sur cde RSL15760;Les poign‚es de cordes s'effritent;;;;;;
RISING;3562;Trampoline cage;16/05/15;5;$80,00;1;05/01/15;$80,00;;Complet;Renvoi de pdts;ok;ok;Renvoi de pdts;;;;;;;
RISING;;Slamball 4kg;17/09/15;20;$4,00;1;17/12/15;$4,00;;Complet;Renvoi de pdts;ok;ok;Renvoi de pdts;;;;;;;
RISING;;Slamball 4kg;17/09/15;20;$4,00;1;22/01/16;$4,00;;Complet;Renvoi de pdts;ok;ok;Renvoi de pdts;;;;;;;
RISING;;Sangle Suspension trainer;01/03/16;200;$17,00;2;07/03/16;;;Complet;Renvoi de pdts;ok;;dans container A9;Le mousqueton a lach‚, on redemande la sangle complˆte;;;;;;
RISING;1445;Ballon paille bleu;01/03/16;1600;$0,54;1600;11/03/16;$864,00;;;Remboursement;En attente;;;Les tailles sont diff‚rentes pour chaque ballons;;;;;;
RISING;1944;Trampolines;02/09/15;500;$17,00;30;15/09/15;;;;Renvoi de 30 pieds;En attente;;;Les filetages ne sont pas bons, et l'acier n'est pas assez ‚pais. On demande le renvoi de 30 pieds + le renvoi de 15 trampolines;Je leur renvoi plus de photos. Relance le 19/07. Vont nous renvoyer 30 pieds dans un container. J'essaye de n‚gocier les 15 autres trampolins;;;;;
RISING;3689;Triangular Crosses;23/09/14;20;$86,50;1;30/03/16;$86,50;;Complet;Renvoi de produit;ok;;;la barre est abim‚e;;;;;;
RISING;;Sangle Suspension trainer;01/03/16;200;$17,00;3;30/03/16;;;Complet;Renvoi de pdts;ok;;;Le mousqueton a lach‚;;;;;;
RISING;;Punching Bag Rack;05/05/16;5;$28,50;2;12/04/16;;;;;En attente;;;Les crochets ont lach‚;;;;;;
RISING;;LF Suspension;16/10/16;200;$18,50;200;19/04/16;$3ÿ700,00;;;;En attente;;;Tous les mousquetons se cassent;;;;;;
RISING;;Timer;14/03/16;20;$81,00;1;19/04/16;$81,00;;;;En attente;;;Le mode horloge ne fonctionne pas;;;;;;
RISING;3550;Monkey rack;23/09/14;18;$107,00;1;17/05/16;$107,00;;;;En attente;;;Les monkey bars se tordent;;;;;;
RISING;;Slamball 4kg & 6kg;26/05/16;20;$8,00;2;01/06/16;;;Complet;Renvoi de pdts;ok;;Renvoi de pdts;;;;;;;
RISING;;Plyobox noir;16/12/15;100;$43,90;2;25/07/16;;;;Renvoi de pdts;;;;La plyobox est toute endommag‚e.;;;;;;
TOP ASIA;1738;Steps LF;20/02/15;296;$31,50;5;10/09/15;$157,50;$157,50;Complet;Remboursement;ok;ok;Pr‚lev‚ sur cde 15TA5116;Steps cass‚s … l'ouverture du carton;;;;;;
TOP ASIA;1453;Barres olympiques;20/02/15;200;$36,97;200;01/09/15;$3ÿ697,00;$3ÿ697,00;50%;Remboursement;ok;ok;50% pr‚lev‚ sur cde 15TA5029-2 + 50% pr‚lev‚ sur cde 15TA5116;Barres de 220cm qui font 17kgs au lieu de 20kgs;;;;;;
TOP ASIA;3486;disques bumper 15kgs;16/10/15;10;$47,40;10;24/11/15;$474,00;$474,00;Complet;Remboursement;ok;ok;50% Pr‚lev‚ sur cde 16TA5006 + 50% … pr‚lever;;;;;;;
TOP ASIA;1682;Pilates Ring;01/03/16;1000;$2,95;1000;16/03/16;$0,20;;3%;Renvoi de produits;ok;ok;Renvoi de 30pcs avec 16TA006;Le logo n'est pr‚sent que sur un c“t‚;;;;;;
TOP ASIA;1430;Anneau Ballon;01/03/16;50;$4,50;1;08/04/16;$4,50;;Complet;Remboursement;ok;;;Velcro mis du mˆme c“t‚;;;;;;
AZUNI;1745;Tapis 140cm noirs;17/02/15;1090;11,85;1;02/11/15;11,85;;Complet;Renvoi de pdts;ok;ok;Tapis trop court;;;;;;;
HERMANN;;Base sac de frappe;;;;3;;;;Complet;Renvoi de pdts;ok;;2 bases envoy‚ … Rising;Les bases ‚taient perc‚es;;;;;;
HERMANN;;Zip sac de frappe + tube PVC;;;;3;;;;Complet;Renvoi de pdts;ok;;En renvoi un de chaque … Rising pour container A9;Un zip d'un couverture ‚tait cass‚. Il manquait un tube PVC aussi;;;;;;
HERMANN;;Base sac de frappe;;;;2;23/05/16;;;Complet;Renvoi de pdts;ok;;en mets 2 dans prochain container;Les bases ‚taient perc‚es;;;;;;
HERMANN;;Base sac de frappe;;;;1;27/07/16;;;;Renvoi de pdts;;;;Base perc‚e;;;;;;
RECORD;1748;Tapis 180cm;01/03/16;1530;5,25;2;10/03/16;10,5;;Complet;Renvoi de 4 pdts;ok;;Envoy‚ avec LK16W009;Tapis abim‚;;;;;;
CSP;3630;Rouleau de dalles;08/04/16;48;146,25;3;15/09/16;438,75;;;;En Attente;;;Les rouleaux de 10m sont coup‚s en 2 (2x5m) pour certains (3-4 cas). Le fournisseur explique qu'il n'est pas possible de controler la longueur des rouleaux. Ils nous donneront une r‚duction sur la prochaine commande.;;;;;;
RECORD;3421;Multi Grip Chin Up;26/08/16;20;30,83;20;22/09/16;616,6;;;;En Attente;;;Pr‚sence de rouille sur la totalit‚ des produits;;;;;;
RISING;1938;SR - Upright Tube Storage Rack 1,5M;09/09/16;15;20,5;15;07/10/16;307,5;;;;En Attente;;;Ils sont en jaune, alors qu'on les avaient command‚ en noir;;;;;;
RISING;1939;SR - Upright Tube Storage Rack 1M;09/09/16;15;15,8;15;07/10/16;237;;;;En Attente;;;Ils sont en jaune, alors qu'on les avaient command‚ en noir;;;;;;
0;; ;20';980,404337;0;;;0;;;;En Attente;;;;;;;;;
;;;;;;;;0;;;;;;;;;;;;;
;;;;;;;;0;;;;;;;;;;;;;
;;;;;;;;0;;;;;;;;;;;;;
;;;;;;;;0;;;;;;;;;;;;;
;;;;;;;;0;;;;;;;;;;;;;
;;;;;;;;0;;;;;;;;;;;;;
;;;;;;;;0;;;;;;;;;;;;;
;;;;;;;;0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
