;;;;;;;;;;;;;;;;;;;$401ÿ759;;;;;;;;;;;;;;;;;;;;;;;;Reste … facturer LF:;$401ÿ758,62;;;;;;;;;CALCUL COUT IMPORT CONTAINER;;;;;;;2;;;;;;15/02/17;1 Euro =;$1,1200;;;;;;;Soumis … TVA;;;;;Non-soumis … TVA;;;;;;;;;Fournisseurs;Date Paiement;Temps de Production;Date Mise … Dispo;Incoterm;D‚part Container;Arriv‚e Havre;Livraison Saint Avertin;Transitaire;Tarif Transitaire;Documents Transitaires;Temps de Trajet Total;Temps Total;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Container;Fournisseurs;Nø;;Fournisseurs;Client;Espace Total;Espace annonc‚;Espace Utilis‚;Espace restant;%;Espace Th‚orique;POIDS;Poids r‚el;Valeur;Date Paiement;ETD;ETA Havre;ETA LF;Heure;docs douanes: Facture/PL;Docs LF: Facture + Estimation;Incoterm;Transitaire;Nø Dossier Qualitair;Nø Container;;Nø Cont.;Client;TOTAL TTC;TOTAL HT;Montant TVA;Type;ETA;ETD;;;;;;Co–t Fret;Valeur Marchandise;$1,0920;Tx de change VRAI;Tx de change transitaire;Tx de change transitaire;% Droits Douane;% Transport;Incoterm;Formalit‚ Douane;Cr‚dit enlŠv.;DELTA;Traction TC;7%;2,30%;TVA;AUTRES TAXES;ENS;$1,0700;THC;Taxe ISPS;Frais de BL;;;;;;;5;34;4;;;;38;100;;;;;;;;;;;;;;;;;;;
Date Cde;CONT;FR;REF;Produits;Products;Details;Qtity;Unit;Unit Price;Total Price;m3;Kgs;Client;Ref HLDP;REF LF;Nø CDE;m3/u;Kgs/u;Facture LF;Cde en cours;Note;Livraison St Av;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Valeur douane;;;;;;;;;;;Surcharge Gasoil;Droits Douane;;;;Fret Maritime;;;;;Simulation Date;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;;;;;;;;Qualitair;;;;C12;LF;11ÿ340 _;2ÿ222 _;9ÿ118 _;40HQ;14-janv-17;12-d‚c-16;1;;December;2016;FOB Taichung 2016 40HQ d‚cembre;;$48ÿ330;44ÿ691 _;;;#DIV/0!;2,30%;4,97%;FOB Taichung;105;13,45;13;715;50,05;1027,902731;8ÿ938 _;12;25;;195;16;50;;;02-Feb;45;18-Mar;FOB Nantong;23-mars;26-avr;30-avr;;;;;;;;;;;;;;;;;;;;;;;;
janv-17;;WOHLSTAND;;1 - Corde De Tirage;1 - Tricep Rope, rubber ends;;40;PIECE;$3,40;$136,00;0,1832;117;LF;STW101;1491;;;;;;;;;;;;;;;;;;;;;;;OK;;;;;;;;;;;Qualitair;;;;B12;LF;#VALUE!;#VALUE!;#VALUE!;;1-janv-17;17-nov-16;1;;November;2016;#VALUE!;#VALUE!;;#VALUE!;;;#DIV/0!;#VALUE!;#VALUE!;FOB Nantong;105;23,25;13;715;50,05;#VALUE!;#VALUE!;12;25;#VALUE!;195;16;50;;;29-Jun;30;29-Jul;FOB Taichung;3-ao–t;6-sept;10-sept;;;;;;;;;;;;;;;;;;;;;;;;
janv-17;;WOHLSTAND;;2 - Triangle De Tirage Avec Poignees;2 - Machine Accessories;;20;PIECE;$5,16;$103,20;0,0916;59;LF;STW102;1518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
janv-17;;WOHLSTAND;;4 - Barre Rowing De Tirage Dorsal;4 - Machine Accessories;;10;PIECE;$16,64;$166,40;0,1086;57;LF;STW104;1459;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
janv-17;;WOHLSTAND;;5 - Barre Rowing Biceps Triceps;5 - Machine Accessories;;20;PIECE;$7,00;$140,00;0,2173;115;LF;STW105;1457;;;;;;;;;3;40HQ;40HQ;40HQ;C12;sept-16;Reebok;LF;66;;63,35;2,65;83,35%;76;OK;8ÿ432;$48ÿ330;;12-d‚c-16;9-janv-17;14-janv-17;;;;FOB Taichung;Qualitair;;;;A11;LF;12ÿ995 _;3ÿ485 _;9ÿ510 _;40HQ;27-sept-16;28-ao–t-16;2;8;August;2016;Fob Kaohsiung 2016 40HQ ao–t;$1ÿ350;$47ÿ741;45ÿ386 _;;;#DIV/0!;2,30%;7,68%;Fob Kaohsiung;105;23,25;13;715;50,05;1ÿ043,88 _;9ÿ329 _;12;;1ÿ262 _;195;16;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
janv-17;;WOHLSTAND;;7 - Barre De Triceps En V;7 - Machine Accessories;;10;PIECE;$8,88;$88,80;0,0458;29;LF;STW107;1519;;;;;;;;;3;40HQ;40HQ;40HQ;B12;sept-16;Woh/Top/Ris/_;LF;66;;65,84;0,16;86,63%;76;OK;36ÿ011;$25ÿ196;;17-nov-16;27-d‚c-16;1-janv-17;;;;FOB Nantong;Qualitair;;;;H10;GEV/LF;#N/A;3ÿ906 _;#N/A;40';3-oct-16;23-ao–t-16;2;8;August;2016;FOB Nantong 2016 40' ao–t;#N/A;;46ÿ455 _;;;#DIV/0!;2,53%;8,41%;FOB Nantong;105;23,25;13;715;50,05;1ÿ177,00 _;#N/A;12;;#N/A;195;16;50;;Containers;;;Th‚orique;R‚el;;Poids max;;;;;;;;;;;;;;;;;;;;;;;;;
janv-17;;WOHLSTAND;;8 - Double Poignee Rowing De Tirage Dorsal;8 - Machine Accessories;;10;PIECE;$9,68;$96,80;0,0458;29;LF;STW108;1521;;;;;;;;;1;20';20';20';A12;sept-16;Azuni/Bioknit/High Spot;LF;28;;54,51;-26,51;165,18%;33;OK;2ÿ661;$30ÿ162;22-sept-16;23-nov-16;27-d‚c-16;1-janv-17;;;;FOB Nantong;Qualitair;;;;G10;GEV;7ÿ722 _;3ÿ201 _;4ÿ521 _;40HQ;28-sept-16;9-ao–t-16;2;8;August;2016;FOB Nantong 2016 40HQ ao–t;#N/A;;20ÿ833 _;;;#DIV/0!;3,00%;15,37%;FOB Nantong;105;23,25;13;715;50,05;625,00 _;4ÿ339 _;12;;1ÿ407 _;195;16;50;;2*40HQ + 1*20;;;185;160;;72ÿ000;11;;;;;;;;;;;;;;;;;;;;;;;;
