;;;;;;;;;;;;;;;;;;;;;;Container;20';40';40HQ;;;;;;;;;;;;;;
;RISING;;;;;;;;;;;;;;;;;;;;;m3 thÇorique;33;67,3;76;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;m3 rÇel;27;56;66;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Poids Max Kgs;24ˇ000;22ˇ500;22ˇ000;Pour un 20 pieds, si on met plus de 22T, on s'expose Ö des frais supplÇmentaires, car les camions sont plus rares et peuvent àtre plus couteux;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Poids du container;2,20;3,70;4,00;;;;;;;;;;;;;;
;FR;REF HLDP;REF;PRODUITS;PRODUCTS;MOQ;DETAILS;Client;QUANTITY;UNIT;UNIT PRICE;TOTAL AMOUNT;Packing details;m3;Poids;m3/unit;Poids/unit;Units/20';Units/40';Units/40HQ;LF;;;;;;;;;;;;;;;;;;Fournisseur
 ;WOHLSTAND;CRI258;1212-60;Anneaux De Suspension Bois;Wooden Gym Rings;;;LF;;PAIRE;$10,90;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;;CRI258;;;;;;;;;;;;;;;;WOHLSTAND;REEBOK
 ;WOHLSTAND;CRI289;;Bague Stop Disque 30mm;Collars for Olympic Bar;;õ30mm;LF;;PAIRE;$1,55;;;;;0,000585744;0,19;46ˇ095;95ˇ605;112ˇ677;;;;;;;;;;;;;;;;;;WOHLSTAND;REGAL
 ;WOHLSTAND;STI576;1110-24;Bagues Stop Disques;Collars for Olympic Bar;;õ50mm;LF;;PAIRE;$3,30;;;;;0,00083952;0,38;32ˇ161;SURPOIDS;SURPOIDS;;STI576;Qtity: 500pr pour couleur;;;;;;;;;;;;;;;WOHLSTAND;REYSPORTS
 ;WOHLSTAND;RFA269;1226-01;Balance Board;BALANCE BOARD;;;LF;;PIECE;$2,16;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#N/A;RFA269;;;;;;;;;;;;;;;;WOHLSTAND;RISING
 ;WOHLSTAND;;1226-03;Balance Board 2;BALANCE BOARD;;;LF;;PIECE;$2,80;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;;;;;;;;;;;;;;;;;WOHLSTAND;SKYLINE
 ;WOHLSTAND;RFA275;;Balle ∑ RÇaction 7Cm;Reaction ball 6,8cm;;TPR;LF;;PIECE;$1,20;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!; ;RFA275;;;;;;;;;;;;;;;;WOHLSTAND;TENGTAI
 ;WOHLSTAND;RFA281;1211-46;Balles HÇrissons 6Cm Soft;6cm Soft Massage Grip Balls;;    6cm;LF;;PIECE;$0,25;;;;;0,0007776;0,09;34ˇ722;72ˇ016;84ˇ877;#N/A;RFA281;;;;;;;;;;;;;;;;WOHLSTAND;TOPASIA
 ;WOHLSTAND;RFA282;1211-46;Balles HÇrissons 7Cm Soft;7cm Soft Massage Grip Balls;;    7cm;LF;;PIECE;$0,28;;;;;0,0007776;0,09;34ˇ722;72ˇ016;84ˇ877;#N/A;RFA282;;;;;;;;;;;;;;;;WOHLSTAND;TOTALGYM
 ;WOHLSTAND;RFA280;1211-46;Balles HÇrissons 8Cm Soft;8cm Soft Massage Grip Balls;;    8cm;LF;;PIECE;$0,42;;;;;0,0003888;0,09;69ˇ444;144ˇ033;169ˇ753;#N/A;RFA280;;;;;;;;;;;;;;;;WOHLSTAND;UFINE
 ;WOHLSTAND;RFA918;1211-46;Balles HÇrissons 9Cm Soft;9cm Soft Massage Grip Balls;;    9cm;LF;;PIECE;$0,49;;;;;0,0007776;0,09;34ˇ722;72ˇ016;84ˇ877;#N/A;RFA918;;;;;;;;;;;;;;;;WOHLSTAND;VORTEC
 ;WOHLSTAND;RFA283;1211-46;Balles HÇrissons 10Cm Soft;10cm Soft Massage Grip Balls;;    10cm;LF;;PIECE;$0,88;;;;;0,0007776;0,09;34ˇ722;72ˇ016;84ˇ877;#N/A;RFA283;;;;;;;;;;;;;;;;WOHLSTAND;WOHLSTAND
 ;WOHLSTAND;RFA862;1211-46;Balles HÇrissons Medium 6Cm;6cm Medium Massage Grip Balls;;    6cm;LF;;PIECE;$0,25;;;;;0,0007776;0,09;34ˇ722;72ˇ016;84ˇ877;#N/A;RFA862;;;;;;;;;;;;;;;;WOHLSTAND;XIAMEN
 ;WOHLSTAND;RFA863;1211-46;Balles HÇrissons Medium 7Cm;7cm Medium Massage Grip Balls;;    7cm;LF;;PIECE;$0,28;;;;;0,0007776;0,09;34ˇ722;72ˇ016;84ˇ877;#N/A;RFA863;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA864;1211-46;Balles HÇrissons Medium 8Cm;8cm Medium Massage Grip Balls;;    8cm;GVE;;PIECE;$0,42;;;;;0,0007776;0,09;34ˇ722;72ˇ016;84ˇ877;;RFA864;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA902;1211-46;Balles HÇrissons Medium 9Cm;9cm Medium Massage Grip Balls;;    9cm;LF;;PIECE;$0,49;;;;;0,0007776;0,09;34ˇ722;72ˇ016;84ˇ877;#N/A;RFA902;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA865;1211-46;Balles HÇrissons Medium 10Cm;10cm Medium Massage Grip Balls;;    10cm;LF;;PIECE;$0,88;;;;;0,0007776;0,09;34ˇ722;72ˇ016;84ˇ877;#N/A;RFA865;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFW287;1226-51;Balles Lestees 0,5Kg Bleues;Weighted Ball;;0,5KG Blue;LF;;PAIRE;$1,42;;;;;0,002;1,20;13ˇ500;SURPOIDS;SURPOIDS; ;RFW287;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFW288;1226-51;Balles Lestees 0,5Kg Grises;Weighted Ball;;0,5KG Grey;LF;;PAIRE;$1,42;;;;;0,002;1,20;13ˇ500;SURPOIDS;SURPOIDS;#N/A;RFW288;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFW291;1226-51;Balles Lestees 1Kg Bleues;Weighted Ball;;1KG Blue;LF;;PAIRE;$1,56;;;;;0,0029624;2,20;9ˇ114;SURPOIDS;SURPOIDS; ;RFW291;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFW289;1226-51;Balles Lestees 1,5Kg Bleues;Weighted Ball;;1,5KG Blue;LF;;PAIRE;$1,84;;;;;0,0029624;3,20;SURPOIDS;SURPOIDS;SURPOIDS; ;RFW289;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFW294;1226-51;Balles Lestees 2Kg Bleu;Weighted Ball;;2KG Blue;LF;;PAIRE;$2,10;;;;;0,0029624;4,40;SURPOIDS;SURPOIDS;SURPOIDS;#N/A;RFW294;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA298;1225-05;Ballon Fitness 55Cm;Anti-burst Gym Ball ;;    55cm grey color with white logo;LF;;PIECE;$2,94;;;;;0,0045056;1,10;5ˇ993;12ˇ429;14ˇ648; ;RFA298;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA301;1225-05;Ballon Fitness 65Cm;Anti-burst Gym Ball ;;65cm, blue;LF;;PIECE;$3,52;;;;;0,0055488;1,30;4ˇ866;10ˇ092;11ˇ894; ;RFA301;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA303;1225-05;Ballon Fitness 75Cm;Anti-burst Gym Ball ;;    75cm grey color with white logo;LF;;PIECE;$3,97;;;;;0,00595;1,45;4ˇ538;9ˇ412;11ˇ092; ;RFA303;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA315;1225-30;Ballon Paille 20Cm;PVC Mini Ball 20cm w/white logo;;    blue;LF;;PIECE;$0,44;;;;;0,00049011;0,07;55ˇ090;114ˇ260;134ˇ664;#N/A;RFA315;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;PTA703;;Bande kinÇ;Kine tape;100;160g/m2;LF;;PIECE;$1,18;;Neutral colorbox;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#N/A;PTA703;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFT428;;Bandes Latex (lot de 3);Latex Band (set of 3);1000;Light/Medium/Strong, SIZE:120*15CM, THICKNESS:0.35/0.5/0.65MM. Light(red) / Medium(blue) / Strong(purple);LF;;Set of 3;$2,68;;1pc/opp bag, master carton;;;;;#DIV/0!;#DIV/0!;#DIV/0!;;RFT428;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFW326;1241-40;Bande LestÇe Cheville 0,5Kg;Neoprene Ankle Weight 0.5kg*2, red/black;;;LF;;PAIRE;$2,41;;;;;0,0017296;1,05;15ˇ611;SURPOIDS;SURPOIDS; ;RFW326;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFW327;1241-40;Bande LestÇe Cheville 1Kg;Neoprene Ankle Weight 1kg*2;;;LF;;PAIRE;$3,23;;;;;0,0024;2,10;11ˇ250;SURPOIDS;SURPOIDS;;RFW327;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFW328;1241-40;Bande LestÇe Poignet 0,5Kg;Neoprene Wrist Weight 0.5kg*2, blue/black;;;LF;;PAIRE;$2,55;;;;;0,0017296;1,05;15ˇ611;SURPOIDS;SURPOIDS; ;RFW328;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;CRW126;OB86;Barre Crossfit  Olympique Homme;20kg Men Crossfit Bar;;capacity 1000LB, handle dia.28mm, logo compris;LF;;PIECE;$58,30;;;;;0,0251328;20,60;1ˇ074;SURPOIDS;SURPOIDS; ;CRW126;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;CRW127;OB86;Barre Crossfit Olympique Femme;15kg Women Crossfit Bar;;capacity 800LB, handle dia.25mm,  logo compris;LF;;PIECE;$69,70;;;;;0,0310464;18,00;870;SURPOIDS;SURPOIDS; ;CRW127;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;STW581;1114-23;Barre Curl Ez 120Cm;Chrome Olympic EZ Curl Bar 120cm;; logo compris;LF;;PIECE;$22,90;;;;;0,012323452;11,00;SURPOIDS;SURPOIDS;SURPOIDS; ;STW581;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;1152-00;Barre Droite Solide 25Kgs;Solid Barbell Straight 25kg;;;LF;;PIECE;$43,75;;;;;0,061215;22,00;441;915;SURPOIDS; ;;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA608;;Barre Kit Pump RenforcÇe;Strengthened Pump Set Bar;;Can hold 40kgs;LF;;PIECE;$5,55;;;;;0,061215;22,00;441;915;SURPOIDS;;RFA608;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;;;Barre Kit Pump Classique;Classic Pump Set Bar;;;LF;;PIECE;$5,00;;;;;0,061215;22,00;441;915;SURPOIDS; ;;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA336;1224-00;Barre LestÇe 1Kg;Weighted bar;;1kg;LF;;PIECE;$4,16;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#N/A;RFA336;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA337;1224-00;Barre LestÇe 2Kgs;Weighted bar;;2kg;LF;;PIECE;$5,12;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#N/A;RFA337;;;;;;;;;;;;;;;;WOHLSTAND;
 ;WOHLSTAND;RFA338;1224-00;Barre LestÇe 3Kgs;Weighted bar;;3kg;LF;;PIECE;$5,60;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#N/A;RFA338;;;;;;;;;;;;;;;;WOHLSTAND;
